ID,Esai,Gaya Belajar,Tipe Kepribadian,,
11,"kebiasaan belajarku biasanya di rumah, kadang lebih fokus kalo malem², sendirian kondisinya juga harus sepi, tenang, tapi terkadang juga sambil dengerin musik buat naikin mood. Lebih nyaman belajar sendiri karena bisa ningkatin fokus juga klo sama orang lain kan harus interaksi juga sebenernya bisa² aja interaksi langsung tapi kadang ujung²nya malah melenceng dari rencana awal. | langkah langkahnya yg biasa dilakuin biar paham itu kadang di rumah suka nonton video² materi juga buat nambah pengetahuan. kalo memahami materi lebih suka di jelasin secara langsung sama gurunya atau nambahin nonton video sendiri di rumah biar makin paham. | kondisi belajar yg aku suka opsional sih kadang pengen yg tenang bgt kadang harus dengerin musik atau nonton film juga karena kadang kondisi ini bisa naikin mood sendiri. klo ngerasa bersemangat di keramaian mungkin tergantung lawan bicaranya klo emang sama² nyambung energi nya juga bakal balik suasana tenang juga enak sihh klo lagi sendiri. | solusinya itu biasanya lebih ke tanya temen gimana cara nyelesain trus dijelasin klo masih ga ngerti nyoba memahami ulang materi di bagian mana yg ngga di mengerti. Fifty-Fifty sih terkadang bisa minta bantuan orang lain atau nyoba menyelesaikan dulu sendiri. | yang aku pelajari dari pengalaman ini rasanya seneng sih, mungkin ada tapi masih belum nemu apa yg mau diubah, klo di lingkungan baru mungkin masih beradaptasi sedikit² sama orang lain biar terbiasa juga",K,Introvert,,
12,"belajar dirumah biasanya setelah maghrib / isya, ramai namun tdk terlalu berisik. lebih nyaman sendiri karena lebih fokus | waktu kesusahan mengerjakan biasanya search caranya lalu dikerjakan sampai paham. lebih paham ketika mendengarkan penjelasan dri org lain | kondisi tenang dgn mendengarkan musik dgn suara kecil agar tdk terlalu mengganggu fokus. lebih ke suasana yg tenang | lebih sering meminta bantuan | ingin meningkatkan cara belajar mengingat",V,Ekstrovert,,
13,"Saya belajar sesuai mood saya, saya sering belajar di rumah jarang keluar untuk berdiskusi walaupun ingin melakukan nya sebenarnya, suasana yang sepi tenang adalah tempat yang pas untuk saya bellajar, jujur jika belajar saya lebih suka sendiri | Mengulang ulang materi dan mengerjakan latian soal adalah cara paling efektif bagi saya | Tenang dan sepi karna tidak ada gangguan yang dapat mengganggu konsentrasi | Saya lebih suka melihat video yang membahas masalah tersebut di internett | Saya ingin menghilangkan rasa malas saya dalam beljar sesuatu",K,Introvert,,
14,"untuk saat ini saya belum konsisten belajar setiap hari (belajar kalau ada tugas saja hehe), saya biasanya belajar di kamar karena agar bisa tenang dan mendengarkan musik, saya lebih suka belajar sendiri karena lebih santai dan tidak terganggu | kalau saya kurang paham dengan penjelasan guru, biasanya saya meminta tolong teman saya yang sudah paham untuk menjelaskan materi tersebut karena penjelasan dari teman biasanya lebih masuk di otak karena bahasanya juga ringan, kalau sedang belajar sendiri biasanya saya menonton short video di tiktok atau you tube, karena kalu long video pasti saya ngantuk | saya lebih suka belajar sendiri dengan ditemani oleh musik, karena menurut saya itu bisa membuat saya lebih enjoy dan agar tidak terlalu mendengarkan suara"" berisik dari luar | jika saya menemukan kesulitan dalam belajar, biasanya saya akan mencoba sendiri dulu, kalau bener bener ga paham mungkin baru akan bertanya kepada teman atau mencari di internet dan menonton video tutorial, dan kalau belum paham juga, mungkin saya akan bertanya langsung kepada guru ketika pertemuan selanjutnya | selama ini saya rasa saya belum bisa konsisten dalam belajar, kalau ada video motivasi dari tiktok biasanya saya langsung tergerak untuk belajar karena mood saya sedang bagus, tapi kadang juga ga mood banget mau belajar karena udah terlalu capek di sekolah, dan saya ingin mengubah bad habbit saya agar saya tidak males belajar lagi karena tahun ini juga sudah naik kelas 12 dan harus kejar ptn",K,Ekstrovert,,
15,"saya biasanya belajar disekolah dan di kamar, saat dikamar cenderung belajar pd malam hari karena pagi hingga sore di sekolah, suasana belajar di rumah lebih tenang, saya suka belajar sendiri dan juga diskusi dengan orang lain untuk mendapat solusi | jika dengan belajar sendiri saya merasa kurang, saya akan bertanya dengan teman saya yg memungkinkan paham dengan materi, atau bertanya kpd guru les saya secara pribadi, dengan itu saya akan lebih paham dgn materi yg diujikan | saya lebih suka belajar dengan tenang, didalam kamar yang tertutup dgn sedikit cemilan, itu akan membuat saya lebih fokus dalam mendalami materi | saat saya merasa kesulitan dalam belajar, saya akan mencoba menyelesaikan nya sendiri dengan bantuan internet, jika dirasa masih kurang paham dengan materi saya akan bertanya secara pribadi kepada guru | saya akan mengubah metode belajar saya, dengan menjadi lebih giat dan konsisten dalam mendalami materi ",V,Introvert,,
16,"belajar dirumah sambil mendengarkan musik, suasana yg tenang dengan teman atau   Setiap hari, saya biasanya belajar di rumah setelah pulang sekolah atau pada malam hari setelah semua tugas rumah selesai. Saya lebih suka belajar di kamar karena suasananya lebih tenang dan membuat saya lebih fokus. Di meja belajar saya terdapat buku pelajaran, laptop, dan alat tulis yang selalu saya siapkan sebelum mulai belajar. Dengan suasana yang nyaman, saya bisa belajar lebih lama tanpa mudah merasa bosan. | Saya biasanya memahami materi pelajaran baru dengan cara mendengarkan penjelasan guru terlebih dahulu di kelas. Jika masih ada materi yang kurang saya pahami, saya akan mencari video pembelajaran di internet dan menontonnya kembali secara perlahan. Dengan melihat dan mendengarkan penjelasan dari video, saya lebih mudah memahami isi materi karena penjelasannya lebih detail dan dapat diputar ulang kapan saja. Selain itu, saya juga sering mencatat poin-poin penting agar lebih mudah diingat. Saya lebih suka memahami materi melalui belajar mandiri dengan bantuan video pembelajaran, karena saya bisa belajar sesuai kecepatan saya sendiri dan lebih fokus memahami bagian yang masih sulit. | Suasana belajar yang paling saya sukai adalah belajar bersama kelompok yang semua anggotanya bisa bekerja sama dengan baik. Saya merasa lebih nyaman ketika setiap anggota kelompok aktif berdiskusi, saling membantu, dan memiliki semangat untuk menyelesaikan tugas bersama. Selain itu, saya juga lebih mudah memahami pelajaran ketika guru menjelaskan materi dengan praktik secara langsung, karena saya bisa melihat contoh nyata dan tidak hanya mendengarkan teori saja. Suasana seperti ini membuat saya lebih fokus, lebih mudah mengerti materi, dan lebih bersemangat saat belajar. Saya sebenarnya lebih suka suasana yang tidak terlalu ramai, tetapi tetap aktif dan mendukung untuk belajar bersama. | Ketika menghadapi kesulitan atau tantangan dalam belajar, saya biasanya mencoba memahaminya sendiri terlebih dahulu dengan membaca ulang materi atau menonton video pembelajaran. Jika masih belum paham, saya akan mencari penjelasan tambahan di internet atau bertanya kepada teman dan guru. Saya juga mencoba berlatih mengerjakan soal agar lebih memahami materi yang sulit. Biasanya, yang paling membantu saya adalah penjelasan guru, video pembelajaran, dan diskusi bersama teman. Saya lebih sering mencoba menyelesaikannya sendiri terlebih dahulu karena ingin melatih kemampuan saya, tetapi jika benar-benar kesulitan, saya tidak ragu untuk meminta bantuan orang lain. | Dari pengalaman belajar selama ini, saya belajar bahwa saya lebih mudah memahami materi jika belajar dengan cara yang santai tetapi tetap fokus, seperti mendengarkan musik atau melihat praktik secara langsung. Saya juga menyadari bahwa saya cukup mandiri dalam belajar karena biasanya mencoba memahami materi sendiri terlebih dahulu sebelum meminta bantuan orang lain. Hal yang ingin saya pertahankan adalah kebiasaan mencari video pembelajaran dan belajar dengan suasana yang nyaman. Namun, saya juga ingin lebih disiplin dalam mengatur waktu belajar agar hasilnya lebih maksimal. Saat berada di lingkungan belajar baru, saya berusaha untuk bersikap sopan, mau beradaptasi, dan mencoba bekerja sama dengan orang lain agar bisa belajar dengan nyaman dan mendapatkan pengalaman baru.",K,Ekstrovert,,
17,"saya lebih sering belajar dirumah, dan lebih nyaman ketika belajar sendiri, atau bisa juga belajar bersama orang lain | cara saya memahami materi dengan membaca isi ringkasan yang terkait dengan materi tersebut, saya lebih suka memahami materi melalui mendengar kan penjelasan dari guru/pengajar  | suasana belajar yang saya sukai ketika suasana sepi dan sunyi sangat cocok dengan saya karena jadi lebih fokus dan bisa lebih memahami materi nya | saya akan mencoba menyelesaikan nya sendiri terlebih dahulu, atau mencari solusi dengan bertanya ke guru/pengajar les | sikap saya saat berada di lingkungan belajar baru adalah beradaptasi terlebih dahulu",V,Ekstrovert,,
18,"untuk belajar saya lebih suka sendiri, dikarenakan saya mudah terdistraksi oleh suara bising apalagi obrolan nya asik | pertama saya akan mendiskusikan, lalu saya lebih suka memahami konsep sehingga bisa menemukan jawaban dengan cara yang berbeda | saya suka suasana lingkungan belajar yang aktif, sehingga tidak hanya melulu mendengarkan penjelasan dari guru, tapi terjadi interaksi dua arah antara pengajar dan peserta didik | saya akan mengingat kembali tentang motivasi dan mengingat kembali mimpi mimpi besar saya, sehingga saya mendapatkan dorongan semangat untuk terus belajar dan tidak tertinggal | saya terlalu mudah terdistraksi oleh kegiatan dimedia sosial sehingga saya akan membuat timer waktu atau jadwal supaya konsisten belajar",K,Ekstrovert,,
19,"saya sering belajar dikamar pada malam hari, saat suasana rumah tenang, saya lebih nyaman belajar sendiri ketika pelajaran mudah untuk saya pahami, tapi ketika pelajaran susah dipahami saya lebih suka belajar bersama teman | saya akan membaca dan mencari pemahaman lewat internet, saya lebih suka belajar mandiri tetapi ketika menemukan materi yang susah untuk dipahami saya lebih suka melalui diskusi/mendengarkan penjelasan orng lain | di kamar dengan sedikit cemilan dngn suasana tenang  | pertama saya akan mencari lewat internet, jika saya masih merasa kesulitan saya akan meminta bantuan kepada teman dekat. saya lebih sering mencoba menyelesaikan sendiri terlebih dahulu  | mengubah cara belajar dengan belajar lebih giat",V,Introvert,,
20,"Saya lebih nyaman belajar sendiri karena bisa lebih fokus dan tidak mudah terganggu. Biasanya saya belajar di sekolah dan kamar pada malam hari saat suasana rumah sudah tenang. Dengan belajar sendiri, saya bisa memahami materi sesuai kecepatan saya sendiri. | Saya lebih mudah memahami materi dengan mendengarkan penjelasan orang lain, seperti guru atau teman. Biasanya saya mendengarkan dengan baik, lalu mencatat poin penting agar lebih mudah diingat. Setelah itu, saya mencoba membaca kembali materi dan mengulangnya supaya benar-benar paham. Saya lebih suka cara ini karena penjelasan langsung membuat materi terasa lebih jelas dan mudah dimengerti. | Saya lebih suka belajar dalam suasana tenang karena membuat saya lebih fokus. Biasanya saya belajar di kamar agar tidak terganggu. Suasana tenang membantu saya lebih mudah memahami materi. | Saat mengalami kesulitan belajar, saya biasanya mencoba memahaminya sendiri terlebih dahulu dengan membaca ulang materi atau mencari penjelasan di internet. Jika masih belum paham, saya baru meminta bantuan orang lain. | Dari pengalaman belajar, saya mengetahui bahwa saya lebih fokus belajar sendiri dalam suasana tenang. Saya ingin mempertahankan kebiasaan belajar yang teratur dan mencoba beradaptasi dengan baik di lingkungan belajar baru.",K,Introvert,,
21,Lebih suka belajar bersama orang lain karena kita dapat berdiskusi dan mengobrolkan tentang pembelajaran tersebut dengan asik dan menyenangkan | Berdiskusi dengan orang lain untuk menemukan poin penting materi tersebut agar mudah dipahami dan dijelaskan | Suasana yang tenang untuk kita mencari apa jawaban dari permasalahan materi tersebut kemungkinan jika jawaban tersebut panjang kita dapat berdiskusi dengan teman agar menemukan solusi yang lebih mudah dipahami dan dijelaskan | Meminta arahan dari orang lain mengenai kesulitan saya dalam belajar dan jika saya sudah paham/mengerti barulah saya mencoba menyelesaikannya sendiri  | Mempertahankan sikap belajar yang baik dan mengubah kekurangan dalam belajar menjadi lebih baik serta sikap saya ketika berada di lingkungan belajar baru menyesuaikan dalam memahami pembelajaran,A,Ekstrovert,,
22,"Saya biasa nya belajar di sekolah, di meja ruang tamu rumah, biasanya jika belajar dirumah saya mulai belajar malam hari sekitar jam 20.00 hingga selesai. suasana saat belajar di sekolah/kelas kadang kondusif namun terkadang juga berisik, sedangkan saat belajar di rumah karena saya belajar di malam hari jadi suasana nya sepi jadi nyaman untuk digunakan belajar apalagi untuk persiapan ujian. saya lebih nyaman belajar sendiri, alasan nya karena saya orang nya introvert. sebenernya bisa belajar bersama orang lain tapi harus memiliki hubungan dekat agar saya terasa nyaman bertanya atau berdiskusi jika saya terdapat kesulitan saat belajar. | Saya biasanya memahami materi baru dengan membaca dan mendengarkan penjelasan terlebih dahulu. Setelah itu, saya mencatat poin penting dan mengulang materi dengan latihan soal agar lebih paham. Jika ada yang belum dimengerti, saya akan bertanya atau mencari penjelasan tambahan.
Saya lebih suka memahami materi melalui penjelasan orang lain dan belajar mandiri. Penjelasan guru membantu memahami inti materi, sedangkan belajar mandiri membuat saya lebih mengerti secara mendalam. | Kondisi belajar yang paling saya suka itu saat kondisi tenang dan suasana kondusif. biasanya yang ada disekitar ku kadang kondusif kadang ramai, suasana kondusif dan tenang cocok untuk saya karena membuat saya lebih fokus untuk memahami materi. saya lebih bersemangat saat berada di lingkungan yang tenang. | saya mencari solusi dengan mencari video pembahasan materi yang sulit itu di youtube kemudian memahami nya hingga saya faham dengan materi itu. terkadang juga bertanya kepada teman yang akrab dengan saya, teman saya yang biasanya membantu saya saat saya terdapat kesulitan saat belajar. saya lebih sering meminta bantuan orang lain dan mencoba menyelesaikannya sendiri. | Dari pengalaman belajar selama ini, saya belajar bahwa saya lebih mudah memahami materi jika belajar dengan fokus dan mengulang kembali pelajaran. Saya ingin mempertahankan kebiasaan mencatat poin penting dan bertanya saat belum paham. Namun, saya juga ingin mengubah kebiasaan menunda belajar agar lebih disiplin. Saat berada di lingkungan belajar baru, saya berusaha bersikap terbuka, aktif beradaptasi, dan mau bekerja sama dengan teman maupun guru.",K,Ekstrovert,,
23,"Jujur aku tuh males belajar, even di les juga males malesan. Tapi kalo uh atau mau pts pas gitu aku baru belajar pake sistem kebut semalam, jadi siangnya aku les sampe sore buat dapet materinya terus aku belajar semaleman buat ujian paginya hehe  | Aku kalo pelajarannya banyak materi sih lebih suka dijelasin ya atau nyari penjelasannya sendiri, tapi kalo kaya ngitung gitu aku suka ngerjain latsol sama pahamin rumusnya | Biasanya kalo buat ujian tuh aku belajar sendiri di malem-pagi hari dirumah di kamar yg bener-bener sendiri gitu buat lebih fokus, tapi aku juga kadang belajar bareng temen di tempat les, coffe shop atau di cowork space. Jujur kalo belajar bareng tuh aku agak kurang suka soalnya nanti kalo diskusi terus beda pendapat jadi rame dan aku ga bisa fokus gitu, jadi aku lebih suka belajar sendiri tapi bareng juga gapapa asal ga berisik. Kaya belajar bareng tapi sendiri sendiri paham ga 🤓 | Aku tuh gasuka kalo materi yang dikasi kurang jelas atau soalnya salah atau kisi-kisi nya gajelas soalnya ak kalo belajar kan mepet hari ujian dan aku belajarnya beneran dari kisi kisi doang. Tapi kalo buat pembelajaran aku suka suka aja sih dikelas mw gimana-gimana ak ngikut aja | Gatau tapi mungkin bakal canggung ya kalo tiba-tiba ganti lingkungan belajar gitu soalnya ak jadi malu nanya nanya kalo gatau sesuatu, aku berani nya tuh kalo udah kenal udah deket ",K,Introvert,,
24,"Metode belajar ku adalah membaca baca catatan, lalu mempelajari contoh soal dan jawaban dari guru, lalu saya mencari soal dari internet, dan saya coba kerjakan. 

Saya biasanya belajar setelah maghrib. 

Suasana saat ini? Ga paham deh 
Kalo saat saya belajar biasanya saya lebih suka tenang, karena bisa lebih fokus. 

Tergantung sih, jika akan Ujian/Ulangan, saya lebih suka belajar sendiri, karena lebih fokus dan lebih tenang, jika belajar seperti ppt gitu aku lebih suka berkelompok, biar lebih paham kalo ada yg gatau bisa tanya"",  intinya tergantung aja sih, sama tergantung mood aja hehe...  | Caraku memahami materi pelajaran baru tuh, aku lebih paham kalau di jelaskan orang lain, lalu aku bertanya apa yg belum aku tau, dan aku lebih paham kalau gurunya yang menjelaskan di depan itu menjelaskan dengan jelas dan tidak blibet, biasanya aku akan mempelajari materi baru itu, jika gurunya pun yang menjelaskan membuatku paham, kalo gak buat paham aku biasanya malas memperlajari | Aku lebih suka belajar di kondisi tenang, karna bisa lebih fokus. aku suka kondisi tenang karena aku type orang yang mudah hafal. | Aku biasanya menghadapi kesulitan, jika di sekolah biasanya bertanya ke orang yang lebih paham/pintar, kalau lagi di rumah aku biasanya tanya AI dan menyamakan dengan catatan dari guru.  | Aku type orang yang cepat menghafal sesuatu, aku akan mempertahankan kemampuanku itu, aku akan merubah sifat rasa malas ku jika aku tidak memahami suatu materi dari guru. 

Sikapku saat berapa di lingkungan belajar baru adalah berusaha bersosialisasi dengan baik. ",K,Ekstrovert,,
25,"Kebiasaan belajar saya dengan metode membuat rangkumann lalu menghafalkan, biasanya saya belajar di kamar setiap malam atau setiap ada waktu luang, suasana haruss sepi. Saya lebih menyukai belajar sendiri karena membuat saya lebih fokus dalam memahami materi.  | Cara memahami dengan membaca terlebih dahulu lalu melihat contoh soal penyelesaian jika dirasa kurang faham biasanya melihat video youtube lalu mencatat danmengerjakan soal soal . Untuk memahami materi saya lebih suka belajar mandiri tapi terkadang membutuhkan penjelasan orang lain untuk lebih mudah dalam memahami.  | Kondisi belajar yang saya sukai itu haruss sepi, sunyi, santaii. Saya menyukai suasana itu karena membuat sayaa lebih mudah memahami materi dan lebih enjoy dalam belajar. Saya lebih bersemangat di lingkungan yang tenang. | Ketika saya mengalami kesulitan dalam belajar saya akan istirahat sebentar sekedar keluar kamar atau membuat makanan yang lezat lalu saya akan coba mengulangi apa yang kurang paham dari materi, melihatt video penjelasan di yt dan terus berusaha memahami lewat soal soal. Saya lebih sering mencoba menyelesaikan sendirii karena saya tidak terbiasa untuk selalu bertanya kepada orang lain. Tetapi jika saya sudah benar"" tidak bisa saya akan bertanya dan meminta bantuan.  | Yang saya pelajari adalah saya mengerti bahwa saya orang yang perfeksionis sehingga ketika ingin belajar saya harus mempersiapkan semuanya dengan matang dan harus sudah memiliki planning yang jelas (apa saja yang akan saya pelajari dan materi apa saja yang harus saya siapkan). Saya akan mengubah kebiasaan menunda atau kebiasaan terlalu perfect sehingga lama dalam belajar dan memulai belajar. Sikap saya yaitu menyesuaikan dengan siapa dan sebisa mungkin menjaga diri agar tidak sombong tetapi juga tidak terlihat rendah diri. ",K,Introvert,,
26,"Saya biasa belajar setiap hari Rabu-Sabtu di kamar saya dengan suasana yang hening, saya lebih suka belajar sendiri karena bisa lebih fokus | dengan cara dijelaskan oleh guru/orang lain lalu saya pelajari lagi dan saya rangkum, lalu saya perdalam lagi dengan cara berlatih melalui latihan soal dsb | setelah saya coba belajar di lingkungan yang ramai, saya pikir saya lebih fokus untuk belajar di lingkungan yang tenang karena menurut saya tidak gampang terganggu dengan materi yang sedang saya pelajari  | saat saya menghadapi kesulitan dalam belajar saya mencoba untuk mencari solusi terlebih dahulu dengan cara mencari di internet, namun jika masih belum memahami saya akan meminta bantuan guru saya untuk menjelaskan  | Dari pengalaman belajar selama ini, saya menyadari bahwa saya adalah tipe pelajar yang dapat belajar dengan sks (sistem kebut semalam). Saya juga menyadari bahwa saya lebih dapat memahami materi dengan cara merangkumnya. Namun, saya juga menyadari kelemahan saya, yaitu mudah terdistraksi oleh ponsel saya. 

Oleh karena itu saya ingin mengubah cara belajar saya, yakni dengan membatasi waktu bermain ponsel saat jam belajar saya. Sementara itu, hal yang ingin saya pertahankan adalah kebiasaan membuat jadwal belajar yang terstruktur karena sangat membantu manajemen waktu saya.

Saat berada di lingkungan belajar baru, sikap saya adalah tetap terbuka, mudah beradaptasi, dan proaktif. Saya akan berusaha cepat akrab dengan teman-teman baru, mengamati norma atau aturan kelas yang berlaku, serta tidak ragu untuk bertanya kepada guru atau teman jika ada hal yang belum saya pahami",R,Ekstrovert,,
27,"kebiasaan belajar ku lebih ke individual. karna saya lebih fokus sendirian dengan pikiran saya daripada bersama orang lain. karna saya seorang INTJ. saya lebih memilih belajar di tempat yang sepi dan sunyi daripada ramai (ex : kafe, restoran,dll)  | cara saya memahami materi dengan mengulang materi, mencari poin² penting, dan mengerjakan latihan² soal dari materi tsb. saya cenderung memahami secara individual jika dirasa belum cukup dipahami saya akan bertanya pada teman/guru/orang yang memang paham di bidang nya. | kondisi belajar yang hening, sunyi, dan sepi adalah kondisi yang membuat saya fokus pada diri saya sendiri, fokus saya akan terpecah jika berada di lingkungan yang ramai. | ketika saya dihadapkan dengan kondisi dimana saya mengalami kesulitan dalam belajar, seperti (belum paham materi, susah memahami, bingung&lupa dalam mendalami materi) saya akan bertanya karna saya merasa sudah tidak yakin dengan diri saya. saya akan meminta bantuan jika saya benar benar membutuhkan nya. | yang saya pelajari mengenai diri saya bahwa saya sering merasa bingung jika dihadapkan dalam sesuatu kondisi dimana saya harus memutuskan sesuatu (anti komitmen club) juga saya merasa sering kecewa dalam menghadapi suatu hal. yang ingin aku ubah dari diri saya adalah rasa malas, dan rasa ragu terhadap diri saya sendiri. jika di hadapkan dengan lingkungan belajar yang baru maka saya akan lebih mudah berbaur dan beradaptasi dengan pembaruan yang ada. ",K,Introvert,,
