ID,Esai,Gaya Belajar,Tipe Kepribadian
2,"Biasanya di kamar/ditempat les. Aku lebih suka suasana yang tenang dan ada iringan musik yang tenang. Aku lebih nyaman belajar sendiri, kalau pun bareng sama orang lain harus yang tenang ga banyak ngobrol. Soalnya menurut aku kalo terlalu banyak suara (kecuali suara musik/penjelasan) itu bisa ganggu fokus aku.  | Aku biasanya dibaca berkali kali, trus dibayangin. Aku lebih suka kalo denger penjelasan orang lain, terus aku ngejelasin lagi pake bahasa sendiri.  | Aku biasa harus suasana yang tenang yang bisa bikin mood belajar naik. Kalo di keadaan ramai aku kurang bisa belajar, lebih suka suasana yang tenang.  | Biasanya kalo sulit sama 1 materi aku suka berusaha sebisa aku dulu, kalo ternyata masih gabisa aku baru minta tolong diajarin temen. Atau kalo lagi belajar sendiri aku tetep berusaha nyelesain sendiri sampai bener bener selesai.  | Aku suka gaya belajar aku sih, gaada yang mau aku ubah. Ketika berada di lingkungan belajar yang baru, aku cukup bisa berbaur dan mengikuti lingkungan",A,Introvert
3,Lebih suka belajar bersama orang lain karena kita dapat berdiskusi dan mengobrolkan tentang pembelajaran tersebut dengan asik dan menyenangkan | Berdiskusi dengan orang lain untuk menemukan poin penting materi tersebut agar mudah dipahami dan dijelaskan | Suasana yang tenang untuk kita mencari apa jawaban dari permasalahan materi tersebut kemungkinan jika jawaban tersebut panjang kita dapat berdiskusi dengan teman agar menemukan solusi yang lebih mudah dipahami dan dijelaskan | Meminta arahan dari orang lain mengenai kesulitan saya dalam belajar dan jika saya sudah paham/mengerti barulah saya mencoba menyelesaikannya sendiri  | Mempertahankan sikap belajar yang baik dan mengubah kekurangan dalam belajar menjadi lebih baik serta sikap saya ketika berada di lingkungan belajar baru menyesuaikan dalam memahami pembelajaran,A,Ekstrovert
4,"Saya keseharian saat belajar lebih suka sendiri, dan suasana saat belajar aku lebih cenderung di ketenangan | Ya pokok nya materi materi aku lebih cenderung suka mendengar kan penjelasan orang lain terlebih dahulu | Yang bisa membantu di sekitar saya yaitu hanya kedokusan diri sendiri | Sangat berat  | Tentang saya sendiri cara ubah atau cara belajar saya yaitu sangat mudah",A,Ekstrovert
5,"Belajar di kamar, pada saat malah hari dengan suasana yang sunyi atau dengan suara musik yang lumayan kencang | Cara memahami materi baru yang aku lakukan adalah mendengarkan penjelasan dari guru setelah itu baru membaca materi baru lebih lanjut. Dan lebih memilih belajar secara mandiri juga  | Suasana sunyi, tenang dan hanya ada suara alunan musik, mengapa bisa cocok karena tidak terlalu ramai atau hectic dengan suara lain yang bisa mengganggu konsentrasi | Mencoba menyelesaikannya sendiri terlebih dahulu lalu jika masih kesulitan minta bantuan orang lain  | 1.Aku ngga suka di ganggu pada saat sedang konsentrasi mengerjakan tugas atau saat memahami materi 
2. Tidak ada yang ingin aku ubah, karena itu sudah cukup. Mungkin aku akan mencoba belajar di area yang ramai seperti di kelas karena biasanya gampang ke distract setiap ada yang ramai dikelas. 
3. Sikap di lingkungan belajar baru, lebih ke gampang salah fokus dan terkadang malah ngga fokus pas belajar 
",A,Introvert
6,"Saya menyukai suasana belajar yang sunyi karna membuat saya lebih fokus, dan jika saya belajar dengan kelompok saya malah lebih banyak mengobrol daripada belajar  | Saya biasanya membaca materi berkali kali, kemudian saya coba untuk memahaminya, saya juga mengerjakan latihan soal, dan yang paling akhir saya coba menjelaskan materi tersebut kepada orang lain, agar lebih memahami materi  | Sunyi dan tidak ramai, dan biasanya saya mencari bimbingan dari orang lain setelah itu sisanya saya belajar sendiri  | Kurang banyakk bahan belajar, dan saya terkadang butuh bimbingan untuk memahami suatu materi  | Akademik saya rendah saat SMP, dan saya mengubah cara belajar saya saat SMA, dan saya sangat bersyukur karna hasilnya baik",A,Ekstrovert
7,saya lebih senang  belajar di rumah sendiri daripada bersama orang lain | melalui belajar mandiri dan mencari tau menggunakan materi yang jelas dan contoh soal  | saya suka belajar dengan suasana sepi dan tidak ada orang yang mengganggu waktu belajar  | saya lebih suka di bantu dan di jelaskan terlebih dahulu untuk menyelesaikan nya | untuk mempertahan kan pembelajaran biasanya di lakukan dengan bantuan orang lain dan agar tidak bosan biasanya menyetel musik ,A,Introvert
8,"kebiasaan belajar saya sehari-hari biasanya belajar sambil mendengarkan musik. di sekolah dan di rumah, tenang. saya lebih suka belajar sendiri karena lebih mudah untung mengingat materi dan lebih fokus | dengan mendengarkan penjelasan tersebut berulang kali. saya lebih suka memahami materi dengan menggunakan metode mendengarkan penjelasan orang lain. | kondisi belajar yang membuat saya fokus adalah sengan suasana yang sepi dan tenang. saya merasa lebih bersemangat jika berada di lingkungan yang tenang. | dengan mencari"" solusi di artikel dan meminta bantuan teman. saya lebih sering meminta bantuan pada teman | semoga belajar dengan lebih rajin",A,Introvert
9,"belajar dirumah, sepi dan tenang, lebih suka belajar sendiri | mendengarkan penjelasan orang lain | suasana yang tenang | menanyakan hal kepada teman | lebih rajin ",A,Ekstrovert
10,"belajar ketika akan ujian dan ketika ada tugas,terkadang ditempat yang sepi kadang jugaa juga mengerjakan dicafe sambil mengobrol bersama teman teman.tergantung suasana hati,kalau sedang mood belajar bersama orang lain,tapi jika tidak belajar se diri | dijelaskan dan diberikan contoh soal tentang materi tersebu.suka semuaa. | ketika belajar bersama teman teman saat nongkrong terkadang tidak fokus tapi seru.karena bikin hati senang.terkadang lebih suka lingkungan yang ramai,tpi kalau ada masalah lebih milih suasana yang tenang | yang membantu adalah pacar saya,karna dengan bercerita kepada pacar saya,saya akan mendapatkan penyelesaian atas masalah yang saya hadapii. | lebih rajin belajar",A,Ekstrovert
1,"kebiasaan belajar ku sehari hari cuma belajar dirumah kalau engga di cafe & lebih merasa nyaman jika belajar dengan teman lain supaya bisa bertanya jika ada sesuatu yang tidak dimengerti | melihat penjelasan lebih detail di youtube atau ikut les | saat kelas dalam kondisi sepi atau tenang | mencoba menyelesaikan dengan sendiri tetapi jika tetap tidak tau maka bertanya kepada orang lain | ingin mengubah mood untuk belajar selalu bagus, karna mood mempengaruhi belajar ku",R,Ekstrovert
2,"aku belajar dgn target, jdi aku buat plan apa yg harus ku kerjakan jdi nnti ter struktur, ya di kamar, suasana belajar sih tenang, nyaman sendiri | dengan membaca / mencari materi ttg itu, truss pahami lagi, abistu buat soal buat nguji pemahaman, belajar mandiri | tenang, yg tenang, lebih suka yg tenang | dengan melihat video cara yg lain, trus nyoba sendiri sampe ketemu jawabanya , gada yg bantu kecuali diri sendiri, nyelesain sendiri | belajar sabar, banyak hal pokonya, buat plan sblm belajar jdi terstruktur jelas, cenderung bisa beradaptasi ",R,Introvert
3,"saya lebih suka belajar bersama untuk mendapat banyak ilmu, tapi jika ingin fokus saya belajar sendiri | saya membaca dan memahami materi dengan baik, jika ndak tau tanya | tenang, fokus, dan mendengarkan musik | kalo udah mulai ga fokus, biasanya saya berhenti belajar selama 5 menit lalu jika sudah fokus lagi saya kembali belajar | saya plin plan, kadang percaya diri berlebihan kadang pesimis tapi yang pasti saya menyelesaikan apa yang sudah saya mulai",R,Introvert
4,"Saya biasa belajar setiap hari Rabu-Sabtu di kamar saya dengan suasana yang hening, saya lebih suka belajar sendiri karena bisa lebih fokus | dengan cara dijelaskan oleh guru/orang lain lalu saya pelajari lagi dan saya rangkum, lalu saya perdalam lagi dengan cara berlatih melalui latihan soal dsb | setelah saya coba belajar di lingkungan yang ramai, saya pikir saya lebih fokus untuk belajar di lingkungan yang tenang karena menurut saya tidak gampang terganggu dengan materi yang sedang saya pelajari  | saat saya menghadapi kesulitan dalam belajar saya mencoba untuk mencari solusi terlebih dahulu dengan cara mencari di internet, namun jika masih belum memahami saya akan meminta bantuan guru saya untuk menjelaskan  | Dari pengalaman belajar selama ini, saya menyadari bahwa saya adalah tipe pelajar yang dapat belajar dengan sks (sistem kebut semalam). Saya juga menyadari bahwa saya lebih dapat memahami materi dengan cara merangkumnya. Namun, saya juga menyadari kelemahan saya, yaitu mudah terdistraksi oleh ponsel saya. 

Oleh karena itu saya ingin mengubah cara belajar saya, yakni dengan membatasi waktu bermain ponsel saat jam belajar saya. Sementara itu, hal yang ingin saya pertahankan adalah kebiasaan membuat jadwal belajar yang terstruktur karena sangat membantu manajemen waktu saya.

Saat berada di lingkungan belajar baru, sikap saya adalah tetap terbuka, mudah beradaptasi, dan proaktif. Saya akan berusaha cepat akrab dengan teman-teman baru, mengamati norma atau aturan kelas yang berlaku, serta tidak ragu untuk bertanya kepada guru atau teman jika ada hal yang belum saya pahami",R,Ekstrovert
5,"Kebiasaan belajarku sehari-hari biasanya dilakukan pada malam hari setelah semua kegiatan selesai. Aku lebih sering belajar di kamar karena suasananya lebih tenang dan membuatku lebih fokus. Saat belajar, suasana di sekitarku cenderung sepi, meskipun kadang masih terdengar suara televisi atau aktivitas keluarga dari luar kamar. Aku biasanya mulai belajar dengan mengulang materi yang sudah diajarkan di sekolah, lalu mengerjakan tugas atau latihan soal. Aku lebih nyaman belajar sendiri karena bisa lebih fokus dan mengatur waktu sesuai keinginanku. Belajar sendiri juga membuatku lebih mudah memahami materi dengan caraku sendiri tanpa terganggu obrolan. Namun, sesekali aku juga suka belajar bersama teman jika ada materi yang sulit. | Cara saya memahami materi pelajaran baru biasanya dimulai dengan membaca atau melihat gambaran umumnya terlebih dahulu supaya tahu inti materi yang akan dipelajari. Setelah itu, saya mencoba mendengarkan penjelasan guru dengan fokus dan mencatat poin-poin penting yang menurut saya sulit atau perlu diingat. Langkah berikutnya, saya biasanya mencoba mengerjakan soal latihan. Saya lebih nyaman memahami materi melalui kombinasi mendengarkan penjelasan orang lain dan belajar mandiri. Mendengarkan penjelasan guru atau teman membantu saya memahami dasar materinya dengan lebih cepat, sedangkan belajar mandiri membuat saya lebih bebas mengulang bagian yang belum dipahami. | Kondisi belajar yang paling aku sukai adalah suasana yang tenang dan sepi karena membuatku lebih mudah fokus. Biasanya aku belajar di kamar atau di tempat yang minim gangguan suara. Di sekitarku biasanya hanya ada meja belajar, buku, laptop atau handphone untuk mencari materi. Kadang aku juga mendengarkan musik pelan agar lebih rileks saat belajar. Aku merasa suasana yang sepi cocok untukku karena aku jadi lebih mudah memahami materi dan tidak terdistraksi oleh hal-hal di sekitar. Saat keadaan tenang, aku bisa lebih berkonsentrasi, berpikir dengan jelas, dan menyelesaikan tugas dengan lebih cepat. Dibandingkan lingkungan yang ramai, aku lebih bersemangat belajar di tempat yang tenang karena pikiranku terasa lebih rileks dan tidak mudah terpecah fokusnya. Dengan suasana seperti itu, aku jadi lebih mudah memahami pelajaran dan hasil belajarku terasa lebih maksimal. | Ketika menghadapi kesulitan atau tantangan dalam belajar, biasanya aku mencoba memahami dulu bagian mana yang belum aku mengerti. Aku akan membaca ulang materi, melihat contoh soal, atau mencari penjelasan dari internet dan video pembelajaran agar lebih paham. Kalau masih sulit, aku mencoba mengerjakan secara perlahan. Biasanya aku juga mencari solusi dengan berdiskusi bersama teman atau bertanya kepada guru. Menurutku, mendengarkan penjelasan dari orang lain kadang membuat materi yang sulit jadi lebih mudah dimengerti. Aku lebih sering mencoba menyelesaikannya sendiri terlebih dahulu karena ingin melatih kemampuan berpikir dan memahami materi secara mandiri. Namun, jika setelah mencoba tetap belum paham, aku tidak ragu untuk meminta bantuan orang lain.  | Dari pengalaman belajar selama ini, aku menyadari kalau aku lebih mudah fokus saat suasana tenang dan memahami materi dengan belajar mandiri terlebih dahulu. Aku juga termasuk orang yang cukup teliti dan suka mencoba memahami sampai benar-benar paham. Yang ingin aku pertahankan adalah kebiasaan belajar rutin, sedangkan yang ingin aku ubah adalah kebiasaan menunda belajar saat merasa malas. Saat berada di lingkungan belajar baru, aku biasanya mencoba beradaptasi dengan tenang, memperhatikan suasana sekitar, dan mulai mengenal teman-teman baru sedikit demi sedikit.",R,Introvert
6,"Bersama orang lain karna kalo kurang paham bisa bertanya,belajar yang nyaman ada di rumah karna lebih nyantai | mendengarkan kan penjelasan dari orang lain karna lebih mudah di paham i  | tergantung,kadang suka yang ramai dan yang tenang | saya selalu mencoba menyelesaikan sendiri ketika diri sendiri merasa kurang paham maka bertanya ke pada rekan  | lebih suka belajar dengan tenang,cara berpikir,selalu beradaptasi ",R,Ekstrovert
7,"Saya biasanya belajar pada sore atau malam hari di kamar yang tenang untuk menjaga fokus | 1. Membaca Cepat dan Menandai (Skimming
2. Belajar Mandiri untuk Menguasai Konsep Inti | Saya paling fokus belajar di ruangan yang tenang dan sejuk dengan pencahayaan alami, seperti di sudut kamar  | Saat menghadapi kesulitan belajar, saya selalu berusaha menganalisis masalahnya secara mandiri terlebih dahulu. 
 | Loss",R,Ekstrovert
8,"Saya biasanya belajar pada sore atau malam hari setelah selesai melakukan aktivitas sekolah dan istirahat. Tempat yang paling sering saya gunakan untuk belajar adalah di kamar atau ruang belajar karena suasananya lebih tenang dan membuat saya lebih fokus. Saat belajar, lingkungan di sekitar saya biasanya cukup nyaman, meskipun terkadang ada sedikit suara dari televisi atau aktivitas keluarga. Saya lebih nyaman belajar sendiri karena bisa lebih fokus, mengatur waktu sendiri, dan memahami materi dengan cara yang sesuai dengan kemampuan saya. Namun, sesekali saya juga belajar bersama teman ketika ada tugas kelompok atau materi yang sulit dipahami agar bisa saling bertukar pendapat. | Saat mendapatkan materi pelajaran baru, saya biasanya mulai dengan membaca dan memahami penjelasan dasar terlebih dahulu. Setelah itu, saya mencoba mencatat poin-poin penting agar lebih mudah diingat. Jika ada bagian yang sulit dipahami, saya akan mencari penjelasan tambahan dari internet, buku, atau bertanya kepada guru maupun teman. Saya juga sering mencoba mengerjakan soal latihan supaya lebih memahami cara penerapan materi tersebut.

Saya lebih suka memahami materi melalui kombinasi mendengarkan penjelasan orang lain dan belajar mandiri. Penjelasan dari guru atau teman membantu saya memahami inti materi, sedangkan belajar sendiri membuat saya lebih fokus untuk mengulang dan memahami bagian yang belum saya kuasai. | Suasana belajar yang paling saya sukai adalah tempat yang tenang dan nyaman karena membuat saya lebih mudah fokus memahami pelajaran. Biasanya saya belajar di kamar dengan meja belajar yang rapi, buku pelajaran, alat tulis, serta terkadang ditemani musik pelan agar tidak terlalu sepi. Saya lebih mudah berkonsentrasi ketika suasana di sekitar tidak terlalu ramai dan minim gangguan, seperti suara televisi atau percakapan yang terlalu keras. Menurut saya, suasana yang tenang lebih cocok karena membantu saya berpikir dengan lebih jelas dan memahami materi dengan lebih cepat. Walaupun sesekali belajar bersama teman terasa menyenangkan, saya tetap lebih bersemangat belajar dalam lingkungan yang nyaman dan tidak terlalu ramai. | Ketika menghadapi kesulitan atau tantangan dalam belajar, saya biasanya mencoba memahami materi tersebut sendiri terlebih dahulu dengan membaca ulang catatan atau mencari penjelasan tambahan dari buku maupun internet. Jika masih merasa bingung, saya akan mencoba mengerjakan contoh soal atau melihat penjelasan yang lebih sederhana agar lebih mudah dipahami. Namun, apabila tetap mengalami kesulitan, saya tidak ragu untuk bertanya kepada guru, teman, atau anggota keluarga yang bisa membantu menjelaskan. Saya lebih sering mencoba menyelesaikannya sendiri terlebih dahulu karena ingin melatih pemahaman dan kemampuan berpikir saya, tetapi saya juga sadar bahwa meminta bantuan orang lain penting ketika masalah terasa terlalu sulit untuk diselesaikan sendiri. | Dari pengalaman belajar selama ini, saya menyadari bahwa saya lebih mudah memahami pelajaran jika belajar dengan suasana yang tenang dan memiliki waktu yang teratur. Saya juga belajar bahwa setiap materi membutuhkan cara pemahaman yang berbeda, sehingga saya perlu lebih sabar dan konsisten dalam belajar. Ada beberapa hal yang ingin saya pertahankan, seperti kebiasaan belajar mandiri dan mencatat poin-poin penting karena cukup membantu saya memahami pelajaran. Namun, saya juga ingin mengubah kebiasaan menunda belajar agar bisa lebih disiplin dalam mengatur waktu. Saat berada di lingkungan belajar baru, saya berusaha untuk beradaptasi dengan baik, bersikap terbuka, dan tidak malu bertanya agar bisa lebih cepat memahami suasana serta materi yang dipelajari.",R,Introvert
9,"di kelas dan di kamar, lebih mudah paham dan enjoy kalau suasananya tenang dan sepi + nyaman. aku lebih nyaman belajar sendiri tapi kadang butuh temen buat diskusi atau sekedar bahas soal. | biasanya belajar mandiri tapi kalo bener2 ga paham baru diskusi bareng temen lain yg lebih paham atau bahas soal aja, tapi lebih mudah paham kalo denger penjelasan orang lain. | tempat yang leluasa, bersih, dingin trus wangi. harus sepi dan tenang karna kalo berisik aku susah paham karna fokus nya jadi terbagi bagi, kalo rame jadinya amburadul pelajaran nya. | biasanya bantuan teman/orang yang lebih paham tapi kalo mereka ga ada yang bisa bantu juga aku nyari di internet aja, denger penjelasan video orang lain di internet juga ngebantu aku sih buat bantu aku jawab. | metode belajar, sama aku mau buat lebih fokus buat belajar ya walaupun susah nerapin nya tapi aku mau pelan-pelan supaya setiap hari sekolah trus belajar di kelasnya ga sia-sia.",R,Ekstrovert
10,"Saya yang pasti belajar di sekolah dan dirumah saat malam hari dengan suasana ruangan yang hening dan nyaman. Lebih suka belajar sendiri karena lebih bisa fokus secara maksimal | Mencatat materi penting di buku tulis dan mendengarkan penjelasan orang lain | Saya lebih suka di tempat yang tenang, saya akan bersemangat jika ada teman hanya maksimal 5 | Bertanya kepada teman dan meminta bantuan kepada teman/yang lebih mengerti | Ingin mengubah dari cara belajarku dan sikapku akan mengikuti pada lingkungan yang ada",R,Ekstrovert
1,menurut saya kegiatan belajar saya biasanya berada di rumah atau tempat sepi dan suasana yang tenang karena jika suasana tenang lebih mudah untuk memahami materi dan saya lebih menyukai belajar sendiri dari pada belajar bersama” karena jika belajar bersama pasti tidak akan paham tp malah ngobrol | jika ada materi baru yang saya tidak paham maka saya akan tanyakan kepada guru atau teman yang sudah paham jika belum paham lagi saya akan menyoba mengerjakan latihan soal yang merupakan materi tersebut | suasana tenang karena ketenangan membuat fokus lebih naik | jika saya menghadapi kesulitan belajar maka saya akan menyelesaikan sendiri dengan cara beristirahat sejenak atau menghibur diri sendiri  agar mood dan fokus bisa naik dan kembali fokus | yang saya pelajari tentang diri saya sendiri adalah saya merasa agak pemalu atau pendiam terhadap orang baru sehingga ketika  ada orang yang mengajak berbicara terasa canggung dan saya mungkin akan merubah sikap tersebut dan menurut saya sikap saya tersebut saat di lingkungan baru mempunyai kelebihan dan kekurangannya ,K,Ekstrovert
2,"kebiasaan belajarku biasanya di rumah, kadang lebih fokus kalo malem², sendirian kondisinya juga harus sepi, tenang, tapi terkadang juga sambil dengerin musik buat naikin mood. Lebih nyaman belajar sendiri karena bisa ningkatin fokus juga klo sama orang lain kan harus interaksi juga sebenernya bisa² aja interaksi langsung tapi kadang ujung²nya malah melenceng dari rencana awal. | langkah langkahnya yg biasa dilakuin biar paham itu kadang di rumah suka nonton video² materi juga buat nambah pengetahuan. kalo memahami materi lebih suka di jelasin secara langsung sama gurunya atau nambahin nonton video sendiri di rumah biar makin paham. | kondisi belajar yg aku suka opsional sih kadang pengen yg tenang bgt kadang harus dengerin musik atau nonton film juga karena kadang kondisi ini bisa naikin mood sendiri. klo ngerasa bersemangat di keramaian mungkin tergantung lawan bicaranya klo emang sama² nyambung energi nya juga bakal balik suasana tenang juga enak sihh klo lagi sendiri. | solusinya itu biasanya lebih ke tanya temen gimana cara nyelesain trus dijelasin klo masih ga ngerti nyoba memahami ulang materi di bagian mana yg ngga di mengerti. Fifty-Fifty sih terkadang bisa minta bantuan orang lain atau nyoba menyelesaikan dulu sendiri. | yang aku pelajari dari pengalaman ini rasanya seneng sih, mungkin ada tapi masih belum nemu apa yg mau diubah, klo di lingkungan baru mungkin masih beradaptasi sedikit² sama orang lain biar terbiasa juga",K,Introvert
3,"Saya belajar sesuai mood saya, saya sering belajar di rumah jarang keluar untuk berdiskusi walaupun ingin melakukan nya sebenarnya, suasana yang sepi tenang adalah tempat yang pas untuk saya bellajar, jujur jika belajar saya lebih suka sendiri | Mengulang ulang materi dan mengerjakan latian soal adalah cara paling efektif bagi saya | Tenang dan sepi karna tidak ada gangguan yang dapat mengganggu konsentrasi | Saya lebih suka melihat video yang membahas masalah tersebut di internett | Saya ingin menghilangkan rasa malas saya dalam beljar sesuatu",K,Introvert
